,tname,specie,lenght,er,param,cov,model,mapped,unmapped,wrongalign,r0,r5,r10,r20,TP,FN,FP,precison,recall,f1score,bc_TP,bc_FN,bc_FP,bc_precison,bc_recall,bc_f1score
35,magicblast,covid,6000,0.95,-splice#F#-word§size#22#.vcf,10,r103,47,1,0,3,0,0,1,36,291,34,0.5142857142857142,0.11009174311926606,0.181360201511335,32,295,0,1.0,0.09785932721712538,0.17827298050139276
36,lra,covid,500,0.95,#.vcf,10,r103,563,34,0,7,34,71,184,47,280,22,0.6811594202898551,0.1437308868501529,0.23737373737373738,13,314,7,0.65,0.039755351681957186,0.07492795389048991
37,lra,covid,500,0.95,-W#4#-K#12.vcf,10,r103,583,14,0,2,33,60,192,43,284,18,0.7049180327868853,0.13149847094801223,0.22164948453608244,19,308,9,0.6785714285714286,0.0581039755351682,0.10704225352112676
38,lra,covid,500,0.95,-K#7#-W#5.vcf,10,r103,594,3,0,4,36,75,193,39,288,17,0.6964285714285714,0.11926605504587157,0.20365535248041777,26,301,16,0.6190476190476191,0.07951070336391437,0.14092140921409213
39,lra,covid,6000,0.95,#.vcf,10,r103,48,0,0,0,1,6,17,36,291,104,0.2571428571428571,0.11009174311926606,0.15417558886509636,48,279,13,0.7868852459016393,0.14678899082568808,0.24742268041237114
40,lra,covid,6000,0.95,-W#4#-K#12.vcf,10,r103,48,0,0,0,1,4,15,36,291,104,0.2571428571428571,0.11009174311926606,0.15417558886509636,48,279,13,0.7868852459016393,0.14678899082568808,0.24742268041237114
41,lra,covid,6000,0.95,-K#7#-W#5.vcf,10,r103,48,0,0,0,1,5,14,36,291,103,0.2589928057553957,0.11009174311926606,0.15450643776824033,48,279,13,0.7868852459016393,0.14678899082568808,0.24742268041237114
42,blend,covid,500,0.95,#.vcf,10,r103,587,10,0,154,92,98,176,29,298,15,0.6590909090909091,0.08868501529051988,0.15633423180592992,33,294,20,0.6226415094339622,0.10091743119266056,0.1736842105263158
43,blend,covid,500,0.95,-k#7#-w#5#--fixed-bits=24#--neighbors=8.vcf,10,r103,596,1,0,155,94,102,177,30,297,15,0.6666666666666666,0.09174311926605505,0.16129032258064516,33,294,20,0.6226415094339622,0.10091743119266056,0.1736842105263158
44,blend,covid,500,0.95,-k#12#-w#4#--fixed-bits=30#--neighbors=10.vcf,10,r103,588,9,0,155,91,100,176,30,297,16,0.6521739130434783,0.09174311926605505,0.16085790884718498,33,294,21,0.6111111111111112,0.10091743119266056,0.1732283464566929
45,blend,covid,6000,0.95,#.vcf,10,r103,48,0,0,12,4,6,18,33,294,103,0.2426470588235294,0.10091743119266056,0.14254859611231102,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
46,blend,covid,6000,0.95,-k#7#-w#5#--fixed-bits=24#--neighbors=8.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
47,blend,covid,6000,0.95,-k#12#-w#4#--fixed-bits=30#--neighbors=10.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
48,bwamem,covid,500,0.95,#.vcf,10,r103,597,0,0,169,90,103,173,30,297,15,0.6666666666666666,0.09174311926605505,0.16129032258064516,34,293,19,0.6415094339622641,0.10397553516819572,0.17894736842105263
49,bwamem,covid,500,0.95,-k#7#-W#10.vcf,10,r103,597,0,2,169,90,102,174,29,298,15,0.6590909090909091,0.08868501529051988,0.15633423180592992,34,293,19,0.6415094339622641,0.10397553516819572,0.17894736842105263
50,bwamem,covid,500,0.95,-k#5#-w#1.vcf,10,r103,652,0,0,134,69,78,154,26,301,14,0.65,0.07951070336391437,0.1416893732970027,32,295,21,0.6037735849056604,0.09785932721712538,0.16842105263157894
